RecordID,IP Address,LoggedInFlag,ServerID,VisitPageFlag
1,39.13.114.2,1,2,0
2,13.3.25.8,1,1,0
3,247.8.211.8,1,1,0
4,60.10.192.7,0,2,0
5,195.12.126.2,1,1,0
6,93.10.165.4,1,1,0
7,180.3.76.4,1,1,0
8,32.6.213.1,0,2,0
9,107.14.58.2,0,2,0
10,234.1.239.1,0,2,0
11,167.15.157.7,0,2,0
12,123.12.229.8,0,1,0
13,60.11.76.1,0,2,0
14,121.15.186.5,0,1,0
15,102.5.135.9,0,2,0
16,104.4.10.3,1,1,0
17,170.16.100.9,0,1,0
18,253.16.244.7,0,2,0
19,30.11.59.9,1,1,0
20,2.9.108.4,0,1,0
21,93.13.94.5,1,1,0
22,27.6.48.4,0,2,0
23,61.13.14.4,0,2,0
24,126.10.230.7,0,1,0
25,220.12.197.1,0,1,0
26,57.11.138.4,1,2,0
27,188.4.54.9,1,1,0
28,14.14.163.2,0,2,0
29,141.5.246.5,0,1,0
30,129.7.158.8,1,2,0
31,21.4.144.8,0,2,0
32,61.13.69.8,1,2,0
33,103.5.61.6,0,1,0
34,182.8.205.2,0,2,0
35,141.15.136.3,0,2,0
36,156.3.140.2,0,2,0
37,176.12.202.1,1,1,0
38,234.6.198.4,1,2,0
39,117.14.196.2,1,1,0
40,47.6.135.6,0,1,0
41,175.16.251.6,1,1,0
42,103.11.107.1,1,2,0
43,119.6.10.2,1,1,0
44,102.9.163.9,0,2,0
45,97.0.237.3,0,1,0
46,132.7.235.4,0,1,0
47,51.3.142.5,1,2,0
48,48.12.181.1,0,2,1
49,102.3.14.7,0,1,0
50,97.11.109.4,0,1,0
51,52.1.64.8,1,1,0
52,195.9.87.5,1,2,0
53,243.14.93.5,1,2,0
54,227.2.113.6,1,1,0
55,34.13.92.1,0,1,0
56,63.16.203.1,0,1,0
57,4.0.52.3,0,2,0
58,182.10.213.7,0,1,0
59,174.8.230.2,0,2,0
60,155.11.31.6,1,2,0
61,167.12.253.2,0,1,0
62,175.15.101.8,0,2,0
63,65.14.232.5,0,1,0
64,16.15.11.4,1,1,0
65,191.4.97.7,0,2,1
66,46.7.142.7,1,2,0
67,56.9.218.8,0,1,0
68,248.12.100.4,1,2,0
69,11.4.97.7,0,1,0
70,49.15.248.1,1,1,0
71,195.8.168.7,0,2,0
72,3.10.56.8,1,1,0
73,245.11.251.7,1,2,0
74,179.13.166.1,1,1,0
75,75.6.138.4,0,2,0
76,168.2.65.2,0,2,0
77,54.7.69.1,0,2,0
78,15.16.101.1,0,2,0
79,243.16.116.6,0,2,0
80,198.3.154.8,0,1,0
81,27.14.115.6,1,2,0
82,22.4.25.1,0,1,0
83,3.15.129.8,1,2,0
84,88.9.59.8,1,2,0
85,87.1.241.3,0,1,0
86,228.9.65.8,0,2,1
87,4.13.189.6,1,1,0
88,0.4.151.2,1,2,0
89,75.3.41.5,0,1,0
90,163.11.69.8,1,1,0
91,204.11.190.1,1,1,0
92,139.0.24.4,1,1,0
93,139.4.208.7,0,1,0
94,240.1.141.7,0,2,0
95,210.9.87.8,0,2,1
96,85.1.235.1,0,2,0
97,92.1.8.4,0,1,0
98,176.13.183.1,0,2,0
99,68.3.131.9,0,2,0
100,30.8.223.9,1,2,0
101,142.4.104.3,0,1,0
102,206.11.45.3,0,2,0
103,179.15.52.8,1,2,0
104,24.16.110.9,1,1,0
105,98.10.214.3,1,2,0
106,149.7.226.1,1,2,0
107,59.1.50.5,0,1,0
108,136.12.236.5,1,1,0
109,132.14.2.1,0,2,0
110,131.4.163.9,1,1,0
111,107.11.79.2,0,2,0
112,129.0.77.4,0,1,0
113,112.4.48.2,0,2,0
114,208.6.124.3,1,1,0
115,249.7.190.9,1,2,0
116,46.16.170.9,0,2,0
117,204.0.251.9,1,1,0
118,161.4.183.5,0,1,0
119,47.4.158.2,0,2,0
120,206.6.130.1,0,2,0
121,69.1.17.9,0,2,0
122,177.16.54.4,0,1,0
123,46.5.241.7,1,1,0
124,10.11.136.5,0,1,0
125,62.9.43.6,1,2,0
126,154.16.112.6,1,1,0
127,209.2.7.5,1,1,0
128,205.7.117.1,1,2,0
129,91.1.155.9,1,2,0
130,34.5.125.8,0,2,0
131,98.16.91.3,0,1,0
132,141.0.43.5,0,2,0
133,90.9.164.4,0,2,0
134,63.11.228.3,1,1,0
135,157.7.90.2,1,1,0
136,90.1.115.9,0,2,1
137,193.1.3.8,0,2,0
138,122.15.62.2,1,2,0
139,104.7.3.1,1,1,0
140,115.8.63.3,1,1,0
141,138.6.198.9,1,2,0
142,236.12.141.8,0,1,0
143,160.3.163.9,0,2,0
144,76.1.179.5,1,2,0
145,251.0.30.1,1,2,0
146,199.9.73.2,1,1,0
147,150.12.193.2,0,1,0
148,158.6.25.2,1,2,0
149,81.0.137.1,1,1,0
150,168.7.194.6,0,2,0
151,237.13.34.8,1,1,0
152,117.2.62.4,1,1,0
153,174.16.33.1,1,1,0
154,129.7.215.8,1,2,0
155,146.12.242.4,0,1,0
156,78.0.61.5,0,2,0
157,234.6.27.3,0,2,0
158,166.1.28.9,0,1,0
159,149.15.108.3,0,1,0
160,90.16.95.7,0,1,0
161,201.10.108.2,0,1,0
162,80.6.156.8,1,1,0
163,218.7.233.2,0,1,1
164,193.13.100.4,1,1,0
165,19.8.28.2,1,1,0
166,216.14.171.7,0,1,0
167,206.14.237.8,0,2,0
168,185.10.214.4,1,2,0
169,221.2.183.6,0,2,0
170,78.7.25.7,1,2,0
171,194.6.33.8,1,1,0
172,244.16.254.3,1,1,0
173,70.5.203.5,1,2,0
174,194.4.51.5,1,2,0
175,189.13.227.2,0,1,0
176,98.8.215.1,0,1,1
177,115.4.103.7,1,2,0
178,69.12.207.3,0,2,0
179,161.6.60.4,1,1,0
180,52.11.193.5,0,1,0
181,27.12.67.5,1,1,0
182,210.15.202.2,1,1,0
183,30.12.73.3,0,1,0
184,90.5.73.2,1,1,0
185,30.4.102.1,0,1,0
186,28.14.194.2,1,2,0
187,162.4.179.1,0,1,0
188,24.13.29.3,1,2,0
189,191.4.97.7,0,2,0
190,250.12.116.3,1,2,0
191,203.12.253.9,1,1,0
192,186.11.159.1,0,1,0
193,79.13.158.6,0,1,1
194,229.0.0.8,1,2,0
195,158.14.156.1,0,2,0
196,188.1.109.4,1,1,0
197,50.2.36.3,0,2,0
198,209.5.190.4,1,2,0
199,237.1.87.1,1,1,0
200,74.9.240.6,0,2,1
201,242.15.180.4,1,1,0
202,224.10.101.5,1,1,0
203,94.2.87.1,0,1,0
204,148.5.17.2,1,1,0
205,239.7.16.8,0,1,0
206,199.11.205.6,1,1,0
207,202.3.46.8,1,2,0
208,255.9.213.8,1,2,0
209,12.14.58.4,0,2,0
210,177.0.74.9,1,2,0
211,157.1.172.2,0,1,1
212,53.16.36.5,0,2,0
213,132.9.22.6,1,2,0
214,21.15.174.6,1,1,0
215,119.10.234.5,0,2,0
216,151.2.83.6,1,2,0
217,110.8.143.6,1,1,0
218,208.2.198.6,1,2,0
219,180.16.144.4,0,2,0
220,31.1.185.4,0,2,0
221,41.4.200.8,0,1,0
222,62.3.132.7,1,2,0
223,212.2.145.2,0,2,0
224,230.0.120.8,0,2,1
225,244.15.133.1,1,2,0
226,166.2.132.7,1,1,0
227,102.3.40.9,1,1,0
228,153.13.124.1,1,2,0
229,209.12.87.5,0,2,0
230,66.7.189.6,1,1,0
231,222.2.6.7,1,2,0
232,41.7.144.8,1,2,0
233,247.9.74.1,1,1,0
234,119.15.153.9,1,1,0
235,30.11.60.1,1,1,0
236,143.13.248.7,0,1,1
237,159.13.193.4,1,1,0
238,48.9.95.4,0,2,0
239,9.7.115.8,0,1,0
240,5.12.121.2,1,2,0
241,76.14.203.1,0,2,0
242,17.11.44.1,1,2,0
243,15.10.62.5,0,1,0
244,65.4.52.3,0,2,0
245,161.14.163.3,1,2,0
246,72.6.161.5,0,2,0
247,252.9.185.1,0,2,0
248,96.11.23.2,1,1,0
249,167.11.75.1,0,1,0
250,171.9.200.9,1,2,0
251,11.13.183.1,0,2,0
252,177.2.248.4,0,2,0
253,162.10.244.8,1,2,0
254,173.14.3.8,1,1,0
255,123.9.16.7,1,2,0
256,104.9.192.3,1,2,0
257,141.16.13.3,0,2,0
258,220.16.126.5,0,2,0
259,221.11.98.2,0,1,1
260,183.2.45.3,0,1,0
261,199.12.53.8,1,2,0
262,213.1.184.3,0,2,0
263,129.2.55.9,1,2,0
264,234.4.22.3,0,2,0
265,215.16.42.8,0,2,0
266,140.9.47.4,0,1,0
267,53.2.242.1,1,2,0
268,142.4.216.9,1,2,0
269,53.2.82.8,1,2,0
270,76.8.85.2,0,2,0
271,20.12.234.2,0,2,0
272,217.1.219.3,1,1,0
273,13.2.87.6,1,2,0
274,161.13.137.3,1,2,0
275,239.13.105.7,0,1,0
276,234.10.199.4,0,1,0
277,78.14.216.5,0,1,0
278,9.3.90.2,1,2,0
279,141.3.197.3,1,2,0
280,65.7.242.7,0,2,0
281,220.6.196.4,0,1,0
282,116.0.22.7,0,2,0
283,39.6.70.9,1,2,0
284,198.7.145.4,0,2,0
285,192.0.184.9,1,1,0
286,233.5.255.9,0,1,0
287,146.10.244.3,1,1,0
288,0.15.188.1,1,2,0
289,126.5.90.7,0,2,1
290,167.2.73.6,1,2,0
291,202.14.124.8,1,1,0
292,161.11.245.8,0,2,0
293,33.4.53.7,1,2,0
294,108.4.123.7,0,1,0
295,16.11.193.2,0,1,0
296,149.14.179.7,1,2,0
297,244.10.167.1,1,2,0
298,42.5.106.7,1,2,0
299,19.3.170.8,1,2,0
300,125.0.30.9,1,2,0
301,82.3.3.9,0,1,0
302,36.14.145.7,0,2,0
303,216.3.79.4,1,1,0
304,84.15.190.6,1,1,0
305,238.7.92.1,0,2,0
306,160.6.136.7,0,2,0
307,67.9.157.4,1,1,0
308,151.0.242.3,1,2,0
309,93.16.174.3,0,2,0
310,205.11.111.3,0,2,0
311,176.2.63.5,0,1,0
312,200.13.35.9,0,1,0
313,22.2.52.1,0,1,0
314,71.5.17.3,1,2,0
315,2.12.54.5,0,2,0
316,28.10.232.8,0,1,1
317,72.12.130.9,1,1,0
318,255.7.35.6,1,2,0
319,249.14.207.7,1,1,0
320,106.1.4.1,1,1,0
321,227.2.15.6,0,1,0
322,245.1.83.2,1,1,0
323,93.2.21.7,1,2,0
324,51.0.85.6,0,1,0
325,97.12.9.9,0,2,0
326,144.10.239.2,1,1,0
327,169.12.102.4,1,1,0
328,92.4.238.9,1,1,0
329,16.10.61.7,1,2,0
330,143.8.34.4,0,1,0
331,165.1.147.3,1,2,0
332,138.0.36.7,1,2,0
333,38.15.214.8,0,1,0
334,252.12.118.7,1,1,0
335,245.13.35.7,1,1,0
336,57.15.198.5,1,2,0
337,38.0.70.9,1,2,0
338,51.3.122.6,1,1,0
339,19.2.252.2,1,2,0
340,108.4.57.1,0,2,0
341,87.2.53.5,1,1,0
342,214.8.134.6,0,2,0
343,154.11.168.8,1,1,0
344,221.8.222.9,1,2,0
345,121.6.112.4,0,2,0
346,173.6.129.3,1,2,0
347,162.12.121.9,1,2,0
348,12.15.51.8,0,2,0
349,183.11.4.8,1,2,0
